parcel_id,objects_over,best_iou,chip
6707008,3,0.3095,g13_00004_1.tif
6788595,10,0.4176,g13_00004_1.tif
6788596,1,0.4178,g13_00004_1.tif
6862312,6,0.9648,g13_00004_1.tif
6862365,7,0.938,g13_00004_1.tif
6862373,2,0.8191,g13_00004_1.tif
6862379,9,0.9323,g13_00004_1.tif
6862393,9,0.4699,g13_00004_1.tif
6917340,6,0.6224,g13_00004_1.tif
6945580,2,0.1358,g13_00004_1.tif
6945581,5,0.3671,g13_00004_1.tif
6961800,2,0.7277,g13_00004_1.tif
6961802,5,0.4327,g13_00004_1.tif
7044089,5,0.6645,g13_00004_1.tif
6689886,4,0.3121,g13_00005_10.tif
6689885,1,0.0967,g13_00005_11.tif
7079929,1,0.2683,g13_00005_9.tif
6085712,6,0.4244,g13_00006_11.tif
6085714,2,0.0837,g13_00006_11.tif
6085715,6,0.5273,g13_00006_11.tif
6093619,8,0.3696,g13_00006_11.tif
6093620,14,0.6765,g13_00006_11.tif
6093628,4,0.8308,g13_00006_11.tif
6109021,3,0.5,g13_00006_11.tif
6645080,2,0.0952,g13_00006_11.tif
6953134,10,0.3652,g13_00006_11.tif
6987751,4,0.5732,g13_00006_11.tif
6995387,5,0.4293,g13_00006_11.tif
6995390,4,0.1677,g13_00006_11.tif
6085722,4,0.5306,g13_00006_12.tif
6089770,10,0.2886,g13_00006_12.tif
6089772,2,0.2958,g13_00006_12.tif
6093624,7,0.7258,g13_00006_12.tif
6093625,9,0.4409,g13_00006_12.tif
6093628,6,0.465,g13_00006_12.tif
6093632,5,0.399,g13_00006_12.tif
6109021,4,0.8092,g13_00006_12.tif
6109028,8,0.3846,g13_00006_12.tif
6111252,2,0.1934,g13_00006_12.tif
6166271,5,0.2107,g13_00006_12.tif
6166272,1,0.0516,g13_00006_12.tif
6166273,1,0.1548,g13_00006_12.tif
6166275,4,0.6731,g13_00006_12.tif
6166276,8,0.298,g13_00006_12.tif
6378684,1,0.0982,g13_00006_12.tif
6378686,5,0.5652,g13_00006_12.tif
6445437,3,0.4839,g13_00006_12.tif
6445438,1,0.0013,g13_00006_12.tif
6466917,5,0.263,g13_00006_12.tif
6466921,1,0.0385,g13_00006_12.tif
6625247,15,0.3642,g13_00006_12.tif
6645080,2,0.0732,g13_00006_12.tif
