country,bin,lo_native_px,hi_native_px,parcels,object_recall,median_best_iou
slovenia,under 2x2,0,4,958,0.0031,0.0
slovenia,2x2 to 3x3,4,9,1048,0.0143,0.0
slovenia,3x3 to 4x4,9,16,870,0.0402,0.0
slovenia,4x4 to 5x5,16,25,814,0.0811,0.0029
slovenia,5x5 to 7x7,25,49,1386,0.1017,0.0308
slovenia,7x7 to 10x10,49,100,1090,0.1569,0.0696
slovenia,10x10 to 20x20,100,400,631,0.1585,0.0979
slovenia,over 20x20,400,,34,0.3824,0.3925
