parcel_id,objects_over,best_iou,chip
6402188,0,0.0,g13_00002_16.tif
6983393,0,0.0,g13_00002_16.tif
7079929,0,0.0,g13_00002_16.tif
6113948,0,0.0,g13_00002_17.tif
6157272,0,0.0,g13_00002_18.tif
6166700,0,0.0,g13_00003_12.tif
6166702,0,0.0,g13_00003_12.tif
6166704,0,0.0,g13_00003_12.tif
6490468,0,0.0,g13_00003_12.tif
6490470,0,0.0,g13_00003_12.tif
6514417,0,0.0,g13_00003_12.tif
6514421,0,0.0,g13_00003_12.tif
6514422,0,0.0,g13_00003_12.tif
6572178,0,0.0,g13_00003_12.tif
6737064,0,0.0,g13_00003_12.tif
6910737,0,0.0,g13_00003_12.tif
6910738,0,0.0,g13_00003_12.tif
6910741,0,0.0,g13_00003_12.tif
6910746,0,0.0,g13_00003_12.tif
6166702,0,0.0,g13_00003_13.tif
6324650,0,0.0,g13_00003_13.tif
6324653,0,0.0,g13_00003_13.tif
6524321,0,0.0,g13_00003_13.tif
6524323,0,0.0,g13_00003_13.tif
6524324,0,0.0,g13_00003_13.tif
6524325,0,0.0,g13_00003_13.tif
6737065,0,0.0,g13_00003_13.tif
6737066,0,0.0,g13_00003_13.tif
6145881,0,0.0,g13_00003_14.tif
6145882,0,0.0,g13_00003_14.tif
6145886,0,0.0,g13_00003_14.tif
6145887,0,0.0,g13_00003_14.tif
6145890,0,0.0,g13_00003_14.tif
6145891,0,0.0,g13_00003_14.tif
6145892,0,0.0,g13_00003_14.tif
6145893,0,0.0,g13_00003_14.tif
6199100,0,0.0,g13_00003_14.tif
6394110,0,0.0,g13_00003_14.tif
6446137,0,0.0,g13_00003_14.tif
6537426,0,0.0,g13_00003_14.tif
6560698,0,0.0,g13_00003_14.tif
6560699,0,0.0,g13_00003_14.tif
6774220,0,0.0,g13_00003_14.tif
6774225,0,0.0,g13_00003_14.tif
6872553,0,0.0,g13_00003_14.tif
7019528,0,0.0,g13_00003_14.tif
7019531,0,0.0,g13_00003_14.tif
6133722,1,0.7956,g13_00003_18.tif
6146415,0,0.0,g13_00003_18.tif
6146416,0,0.0,g13_00003_18.tif
6224238,1,0.07,g13_00003_18.tif
6224239,0,0.0,g13_00003_18.tif
6224304,1,0.5,g13_00003_18.tif
6224344,0,0.0,g13_00003_18.tif
6224464,0,0.0,g13_00003_18.tif
6625264,1,0.7623,g13_00003_18.tif
6736122,1,0.2511,g13_00003_18.tif
6862344,1,0.8845,g13_00003_18.tif
6862375,1,0.9275,g13_00003_18.tif
6862397,1,0.644,g13_00003_18.tif
6862405,1,0.0251,g13_00003_18.tif
6862407,1,0.8412,g13_00003_18.tif
6862425,1,0.004,g13_00003_18.tif
6953125,1,0.8674,g13_00003_18.tif
6953150,1,0.3606,g13_00003_18.tif
6970149,0,0.0,g13_00003_18.tif
6090653,0,0.0,g13_00004_0.tif
6090654,0,0.0,g13_00004_0.tif
6090658,0,0.0,g13_00004_0.tif
6111251,0,0.0,g13_00004_0.tif
6111252,0,0.0,g13_00004_0.tif
6208423,0,0.0,g13_00004_0.tif
6316528,0,0.0,g13_00004_0.tif
6316531,0,0.0,g13_00004_0.tif
6707003,1,0.5628,g13_00004_0.tif
6707008,1,0.2429,g13_00004_0.tif
6788595,0,0.0,g13_00004_0.tif
6788596,1,0.3797,g13_00004_0.tif
6862344,2,0.361,g13_00004_0.tif
6862365,1,0.9183,g13_00004_0.tif
6862366,1,0.8361,g13_00004_0.tif
6862373,1,0.9257,g13_00004_0.tif
6862394,1,0.4733,g13_00004_0.tif
6862396,1,0.4714,g13_00004_0.tif
6862397,0,0.0,g13_00004_0.tif
6910498,1,0.6897,g13_00004_0.tif
6987753,1,0.4683,g13_00004_0.tif
7044089,1,0.5967,g13_00004_0.tif
7044092,0,0.0,g13_00004_0.tif
7049957,1,0.2069,g13_00004_0.tif
6090656,1,0.805,g13_00004_1.tif
6094132,0,0.0,g13_00004_1.tif
6094133,0,0.0,g13_00004_1.tif
6094134,0,0.0,g13_00004_1.tif
6094137,0,0.0,g13_00004_1.tif
6094214,1,0.7068,g13_00004_1.tif
6165385,2,0.6106,g13_00004_1.tif
6165391,0,0.0,g13_00004_1.tif
6267989,1,0.8456,g13_00004_1.tif
6420102,0,0.0,g13_00004_1.tif
6443932,0,0.0,g13_00004_1.tif
6443934,2,0.3781,g13_00004_1.tif
6443941,1,0.7545,g13_00004_1.tif
6443952,0,0.0,g13_00004_1.tif
6444032,1,0.7422,g13_00004_1.tif
6444073,2,0.542,g13_00004_1.tif
6444273,0,0.0,g13_00004_1.tif
6444289,1,0.496,g13_00004_1.tif
6444732,2,0.4039,g13_00004_1.tif
6503716,1,0.769,g13_00004_1.tif
6503721,1,0.8017,g13_00004_1.tif
6503913,1,0.5783,g13_00004_1.tif
6503966,0,0.0,g13_00004_1.tif
6504115,1,0.7329,g13_00004_1.tif
6504116,1,0.6963,g13_00004_1.tif
6504194,1,0.721,g13_00004_1.tif
6559607,2,0.4101,g13_00004_1.tif
6578268,1,0.7714,g13_00004_1.tif
6578397,1,0.5625,g13_00004_1.tif
6578410,1,0.0462,g13_00004_1.tif
6578413,1,0.4617,g13_00004_1.tif
6578415,0,0.0,g13_00004_1.tif
6581409,0,0.0,g13_00004_1.tif
6581410,0,0.0,g13_00004_1.tif
6581411,0,0.0,g13_00004_1.tif
6689417,1,0.6502,g13_00004_1.tif
6707003,1,0.5081,g13_00004_1.tif
6707008,1,0.25,g13_00004_1.tif
6788595,1,0.797,g13_00004_1.tif
