composite,setting,objects_per_chip,parcels,median_iou,recall,null_recall,gap
false,0.88/0.88,120.0,10,0.0,0.0,0.0,0.0
false,0.80/0.88,198.0,10,0.125,0.0,0.0,0.0
false,0.70/0.88,247.5,10,0.2614,0.0,0.0,0.0
false,0.60/0.88,254.5,10,0.2614,0.0,0.0,0.0
false,0.50/0.88,258.5,10,0.2614,0.0,0.0,0.0
true,0.88/0.88,102.5,10,0.1114,0.0,0.0,0.0
true,0.80/0.88,163.5,10,0.1613,0.0,0.0,0.0
true,0.70/0.88,188.5,10,0.2622,0.0,0.0,0.0
true,0.60/0.88,197.0,10,0.2622,0.0,0.0,0.0
true,0.50/0.88,200.5,10,0.2622,0.0,0.0,0.0
