composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4699,0,6.775,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0297,0,2.107,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0397,0,2.107,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1206,0,3.768,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1654,0,4.247,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3618,0,6.775,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0354,0,2.107,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0472,0,2.107,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0957,0,3.768,1,2,159,66.67
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0119,0,2.107,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1,0,3.768,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1002,0,4.247,1,0,167,66.67
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1429,0,6.775,1,0,167,66.67
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0484,0,2.107,1,0,167,66.67
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0706,0,2.107,1,0,167,66.67
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0869,0,3.768,1,0,167,66.67
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1373,0,4.247,1,1,167,66.67
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.167,0,6.775,1,1,167,66.67
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0457,0,2.107,1,1,167,66.67
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0476,0,2.107,1,1,167,66.67
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1134,0,3.768,1,1,167,66.67
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1374,0,4.247,1,2,167,66.67
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1579,0,6.775,1,2,167,66.67
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0215,0,2.107,1,2,167,66.67
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0952,0,2.107,1,2,167,66.67
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1488,0,3.768,1,2,167,66.67
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,171,66.67
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,171,66.67
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,171,66.67
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0119,0,2.107,0,0,171,66.67
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1,0,3.768,0,0,171,66.67
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2674,0,4.247,1,0,171,66.67
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3787,0,6.775,1,0,171,66.67
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.069,0,2.107,1,0,171,66.67
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1658,0,2.107,1,0,171,66.67
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0638,0,3.768,1,0,171,66.67
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0453,0,4.247,1,1,171,66.67
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3002,0,6.775,1,1,171,66.67
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.083,0,2.107,1,1,171,66.67
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1107,0,2.107,1,1,171,66.67
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0671,0,3.768,1,1,171,66.67
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0638,0,4.247,1,2,171,66.67
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1437,0,6.775,1,2,171,66.67
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0446,0,2.107,1,2,171,66.67
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0595,0,2.107,1,2,171,66.67
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.073,0,3.768,1,2,171,66.67
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0,0,4.247,0,0,123,66.29
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0,0,6.775,0,0,123,66.29
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,123,66.29
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0131,0,2.107,0,0,123,66.29
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,123,66.29
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1259,0,4.247,1,0,123,66.29
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2684,0,6.775,1,0,123,66.29
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0528,0,2.107,1,0,123,66.29
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0736,0,2.107,1,0,123,66.29
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0744,0,3.768,1,0,123,66.29
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1536,0,4.247,1,1,123,66.29
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1443,0,6.775,1,1,123,66.29
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0246,0,2.107,1,1,123,66.29
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0328,0,2.107,1,1,123,66.29
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0714,0,3.768,1,1,123,66.29
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0785,0,4.247,1,2,123,66.29
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2032,0,6.775,1,2,123,66.29
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0663,0,2.107,1,2,123,66.29
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0479,0,2.107,1,2,123,66.29
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1014,0,3.768,1,2,123,66.29
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0226,0,4.247,0,0,201,66.29
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0,0,6.775,0,0,201,66.29
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,201,66.29
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0131,0,2.107,0,0,201,66.29
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,201,66.29
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.128,0,4.247,1,0,201,66.29
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2531,0,6.775,1,0,201,66.29
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0249,0,2.107,1,0,201,66.29
