country,classes,tag,chips,parcels,complete_labels,grid_pixel_m,scored_pixels,pixel_recall,pixel_precision,pixel_iou,object_recall,object_precision,median_best_iou,iou_threshold,predicted_objects
india,3,_full,399,1983,0,6.063,293573,0.2333,0.9308,0.2293,0.053,,0.0,0.5,116357
slovenia,3,_full,228,6831,1,4.146,14942208,0.6351,0.9039,0.595,0.2885,0.3118,0.0388,0.5,6322
