country,chips,pixel_iou,pixel_precision,pixel_recall,object_tps,object_fps,object_fns,object_precision,object_recall
india,399,0.2293,0.9308,0.2333,99,116258,1960,0.0009,0.0481
slovenia,228,0.595,0.9039,0.6351,1977,4345,8452,0.3127,0.1896
