country,classes,chips,parcels,complete_labels,grid_pixel_m,scored_pixels,pixel_recall,pixel_precision,pixel_iou,object_recall,object_precision,median_best_iou,iou_threshold,predicted_objects
india,2,399,1983,0,6.063,293573,0.9807,0.7173,0.7074,0.0005,,0.0011,0.5,6456
slovenia,2,228,6831,1,4.146,14942208,0.5899,0.7942,0.5117,0.0801,0.2608,0.0,0.5,2097
