country,classes,tag,chips,parcels,complete_labels,grid_pixel_m,scored_pixels,pixel_recall,pixel_precision,pixel_iou,object_recall,object_precision,median_best_iou,iou_threshold,predicted_objects
india,3,ccby,399,1983,0,6.063,293573,0.2529,0.9315,0.2483,0.0298,,0.0,0.5,61137
slovenia,3,ccby,228,6831,1,4.146,14942208,0.4553,0.8865,0.4302,0.1451,0.201,0.0,0.5,4930
