composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0818,0,3.768,1,2,127,78.56
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2799,0,4.247,0,0,132,78.56
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3753,0,6.775,0,0,132,78.56
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0949,0,2.107,0,0,132,78.56
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0755,0,2.107,0,0,132,78.56
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0026,0,3.768,0,0,132,78.56
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.234,0,4.247,1,0,132,78.56
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2415,0,6.775,1,0,132,78.56
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0332,0,2.107,1,0,132,78.56
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0463,0,2.107,1,0,132,78.56
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1537,0,3.768,1,0,132,78.56
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1715,0,4.247,1,1,132,78.56
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1935,0,6.775,1,1,132,78.56
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0456,0,2.107,1,1,132,78.56
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0608,0,2.107,1,1,132,78.56
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0728,0,3.768,1,1,132,78.56
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1275,0,4.247,1,2,132,78.56
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1544,0,6.775,1,2,132,78.56
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0677,0,2.107,1,2,132,78.56
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1057,0,2.107,1,2,132,78.56
true,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0711,0,3.768,1,2,132,78.56
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2799,0,4.247,0,0,132,78.56
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3753,0,6.775,0,0,132,78.56
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0949,0,2.107,0,0,132,78.56
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0755,0,2.107,0,0,132,78.56
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0026,0,3.768,0,0,132,78.56
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2714,0,4.247,1,0,132,78.56
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.5142,1,6.775,1,0,132,78.56
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0333,0,2.107,1,0,132,78.56
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0307,0,2.107,1,0,132,78.56
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0584,0,3.768,1,0,132,78.56
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.097,0,4.247,1,1,132,78.56
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2018,0,6.775,1,1,132,78.56
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0776,0,2.107,1,1,132,78.56
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1009,0,2.107,1,1,132,78.56
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1489,0,3.768,1,1,132,78.56
true,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0785,0,4.247,1,2,132,78.56
true,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2025,0,6.775,1,2,132,78.56
true,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0745,0,2.107,1,2,132,78.56
true,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0994,0,2.107,1,2,132,78.56
true,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1859,0,3.768,1,2,132,78.56
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0,0,4.247,0,0,137,72.64
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0,0,6.775,0,0,137,72.64
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,137,72.64
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0149,0,2.107,0,0,137,72.64
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0412,0,3.768,0,0,137,72.64
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1678,0,4.247,1,0,137,72.64
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0863,0,6.775,1,0,137,72.64
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0305,0,2.107,1,0,137,72.64
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0444,0,2.107,1,0,137,72.64
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0678,0,3.768,1,0,137,72.64
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0782,0,4.247,1,1,137,72.64
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1583,0,6.775,1,1,137,72.64
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0259,0,2.107,1,1,137,72.64
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.045,0,2.107,1,1,137,72.64
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0887,0,3.768,1,1,137,72.64
false,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1082,0,4.247,1,2,137,72.64
false,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2339,0,6.775,1,2,137,72.64
false,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0321,0,2.107,1,2,137,72.64
