country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_0590.tif,2953,627,2.3082,230.82,0.3502,0,9.101
india,g0_0590.tif,2954,288,1.0602,106.02,0.3438,0,7.888
india,g0_0590.tif,2955,345,1.27,127.0,0.5267,1,8.227
india,g0_0628.tif,3142,295,1.086,108.6,0.3826,0,7.888
india,g0_0628.tif,3143,179,0.6589,65.89,0.1571,0,5.461
india,g0_0628.tif,3144,93,0.3424,34.24,0.47,0,4.247
india,g0_0628.tif,3145,147,0.5411,54.11,0.2297,0,5.581
india,g0_0628.tif,3146,117,0.4307,43.07,0.6047,1,5.461
india,g0_0629.tif,3147,25,0.092,9.2,0.1613,0,2.107
india,g0_0629.tif,3148,49,0.1804,18.04,0.142,0,3.231
india,g0_0629.tif,3149,32,0.1178,11.78,0.114,0,2.825
india,g0_0629.tif,3150,33,0.1215,12.15,0.3333,0,2.825
india,g0_0629.tif,3151,64,0.2356,23.56,0.3372,0,3.034
india,g0_0633.tif,3167,65,0.2393,23.93,0.343,0,4.247
india,g0_0633.tif,3168,165,0.6074,60.74,0.47,0,5.461
india,g0_0633.tif,3169,540,1.9879,198.79,0.1661,0,11.588
india,g0_0633.tif,3170,145,0.5338,53.38,0.4813,0,4.247
india,g0_0633.tif,3171,90,0.3313,33.13,0.6139,1,4.247
india,g0_0650.tif,3252,35,0.1288,12.88,0.2621,0,2.825
india,g0_0650.tif,3253,28,0.1031,10.31,0.4783,0,2.107
india,g0_0650.tif,3254,46,0.1693,16.93,0.3,0,3.034
india,g0_0650.tif,3255,44,0.162,16.2,0.2712,0,3.231
india,g0_0650.tif,3256,50,0.1841,18.41,0.4412,0,3.231
india,g0_0696.tif,3482,37,0.1362,13.62,0.3333,0,3.034
india,g0_0696.tif,3483,48,0.1767,17.67,0.1543,0,3.231
india,g0_0696.tif,3484,10,0.0368,3.68,0.0592,0,1.109
india,g0_0696.tif,3485,45,0.1657,16.57,0.2159,0,3.034
india,g0_0696.tif,3486,23,0.0847,8.47,0.1361,0,1.82
india,g0_0705.tif,3527,28,0.1031,10.31,0.2796,0,2.107
india,g0_0705.tif,3528,18,0.0663,6.63,0.1354,0,1.82
india,g0_0705.tif,3529,31,0.1141,11.41,0.1163,0,2.825
india,g0_0705.tif,3530,31,0.1141,11.41,0.1845,0,1.82
india,g0_0705.tif,3531,21,0.0773,7.73,0.0894,0,1.82
india,g0_0710.tif,3552,49,0.1804,18.04,0.5909,1,3.034
india,g0_0710.tif,3553,36,0.1325,13.25,0.3723,0,3.034
india,g0_0710.tif,3554,29,0.1068,10.68,0.2323,0,2.825
india,g0_0710.tif,3555,45,0.1657,16.57,0.4074,0,3.034
india,g0_0710.tif,3556,41,0.1509,15.09,0.199,0,3.034
india,g0_0724.tif,3622,72,0.2651,26.51,0.6512,1,4.247
india,g0_0724.tif,3623,82,0.3019,30.19,0.5781,1,5.461
india,g0_0724.tif,3624,69,0.254,25.4,0.4628,0,4.247
india,g0_0724.tif,3625,82,0.3019,30.19,0.4857,0,4.397
india,g0_0724.tif,3626,108,0.3976,39.76,0.3313,0,4.247
india,g0_0737.tif,3687,297,1.0933,109.33,0.7508,1,7.533
india,g0_0737.tif,3688,215,0.7915,79.15,0.4344,0,4.82
india,g0_0737.tif,3689,181,0.6663,66.63,0.3536,0,4.82
india,g0_0737.tif,3690,278,1.0234,102.34,0.3873,0,5.928
india,g0_0737.tif,3691,274,1.0087,100.87,0.5387,1,5.928
india,g0_0773.tif,3867,374,1.3768,137.68,0.3788,0,10.315
india,g0_0773.tif,3868,433,1.594,159.4,0.6911,1,11.528
