parcel_id,objects_over,best_iou,chip
4041,4,0.6906,g0_0808.tif
4392,8,0.3122,g0_0879.tif
4393,9,0.6192,g0_0879.tif
4394,5,0.4582,g0_0879.tif
4395,5,0.3173,g0_0879.tif
4396,10,0.2098,g0_0879.tif
4712,7,0.6122,g0_0943.tif
4713,3,0.7037,g0_0943.tif
4714,6,0.5833,g0_0943.tif
4715,6,0.3865,g0_0943.tif
4716,4,0.6467,g0_0943.tif
4782,5,0.4972,g0_0957.tif
4783,2,0.2621,g0_0957.tif
4784,5,0.4628,g0_0957.tif
4785,8,0.7418,g0_0957.tif
4786,4,0.8121,g0_0957.tif
4892,8,0.3524,g0_0979.tif
4893,4,0.7325,g0_0979.tif
4894,4,0.4975,g0_0979.tif
4895,6,0.4594,g0_0979.tif
4896,4,0.3284,g0_0979.tif
5022,6,0.4934,g0_1005.tif
5023,8,0.4508,g0_1005.tif
5024,8,0.5746,g0_1005.tif
5025,7,0.6038,g0_1005.tif
5026,5,0.6088,g0_1005.tif
5897,5,0.7846,g0_1180.tif
5898,4,0.4776,g0_1180.tif
5899,3,0.6759,g0_1180.tif
5900,12,0.3349,g0_1180.tif
5901,14,0.4433,g0_1180.tif
6047,4,0.4697,g0_1210.tif
6048,3,0.275,g0_1210.tif
6049,5,0.5098,g0_1210.tif
6050,5,0.3629,g0_1210.tif
6051,2,0.5091,g0_1210.tif
6167,3,0.2275,g0_1234.tif
6168,5,0.3212,g0_1234.tif
6169,3,0.2757,g0_1234.tif
6170,6,0.3708,g0_1234.tif
6171,2,0.3848,g0_1234.tif
6212,4,0.3299,g0_1243.tif
6213,8,0.3384,g0_1243.tif
6214,3,0.3271,g0_1243.tif
6215,2,0.1134,g0_1243.tif
6216,4,0.0627,g0_1243.tif
6222,3,0.1143,g0_1245.tif
6223,2,0.2,g0_1245.tif
6224,3,0.5278,g0_1245.tif
6225,1,0.0792,g0_1245.tif
6226,2,0.0971,g0_1245.tif
6312,6,0.3694,g0_1263.tif
6313,4,0.4382,g0_1263.tif
6314,5,0.6114,g0_1263.tif
6315,8,0.325,g0_1263.tif
6316,8,0.7661,g0_1263.tif
6577,3,0.1416,g0_1316.tif
6578,4,0.1412,g0_1316.tif
6579,2,0.3111,g0_1316.tif
6580,4,0.6098,g0_1316.tif
6581,3,0.3478,g0_1316.tif
6712,4,0.4292,g0_1343.tif
6713,8,0.4294,g0_1343.tif
6714,7,0.2975,g0_1343.tif
6715,4,0.8195,g0_1343.tif
6716,8,0.6575,g0_1343.tif
6832,1,0.1434,g0_1367.tif
6833,3,0.1329,g0_1367.tif
6834,6,0.6561,g0_1367.tif
6835,5,0.6078,g0_1367.tif
