quantity,hectares
seen_by_both,1819972.5
seen_only_2016-08-12,4444802.6
seen_only_2016-08-07,1345211.5
overlap_flood_both_dates,20025.1
overlap_flood_only_2016-08-12,964.0
overlap_flood_only_2016-08-07,7923.3
wedge_flood_2016-08-12,98789.8
wedge_flood_2016-08-07,36755.4
persistence_fraction,0.9541
date_to_date_iou,0.6926
