slope_lo,slope_hi,flood_ha,permanent_ha
0,2,149657.3,57521.7
2,5,14205.6,1372.3
5,8,11141.8,602.7
8,12,14012.9,322.9
12,20,24654.7,146.6
20,35,42641.2,80.1
35,90,34637.8,29.3

slope_cut,8.0,removed_ha,115946.6
min_pixels,10,removed_ha,4379.3
kept_ha,170625.4
