slope_lo,slope_hi,flood_ha,permanent_ha
0,2,39362.8,22077.5
2,5,4187.7,690.0
5,8,2016.4,334.0
8,12,1495.3,172.5
12,20,1771.7,32.7
20,35,6183.2,5.1
35,90,9716.8,1.2

slope_cut,8.0,removed_ha,19167.0
min_pixels,10,removed_ha,575.5
kept_ha,44991.4
