product,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
rtc_lee,-11.0,0.0967,0.1643,0.2379,0.142,0.1423,0.9881,128384.5
rtc_lee,-10.75,0.0949,0.1611,0.2326,0.1392,0.1394,0.989,131137.8
rtc_lee,-10.5,0.0934,0.1586,0.2285,0.137,0.1371,0.9897,133385.0
rtc_lee,-10.25,0.0923,0.1567,0.2252,0.1352,0.1354,0.9902,135200.2
rtc_lee,-10.0,0.0914,0.1552,0.2225,0.1338,0.134,0.9906,136652.0
gee_lee,-28.0,0.0327,0.2267,0.1789,0.1336,0.9459,0.1347,2631.5
gee_lee,-27.75,0.0387,0.2547,0.2049,0.1524,0.9433,0.1538,3013.9
gee_lee,-27.5,0.0456,0.2836,0.2326,0.1724,0.9407,0.1743,3424.4
gee_lee,-27.25,0.0534,0.3127,0.2616,0.1933,0.9379,0.1958,3858.3
gee_lee,-27.0,0.0621,0.3414,0.2916,0.2148,0.9349,0.2181,4311.5
gee_lee,-26.75,0.0715,0.3692,0.3223,0.2366,0.9318,0.2408,4776.8
gee_lee,-26.5,0.082,0.3955,0.3531,0.2586,0.9285,0.2639,5252.5
gee_lee,-26.25,0.0932,0.4203,0.3837,0.2804,0.9252,0.2869,5731.9
gee_lee,-26.0,0.1048,0.4429,0.4136,0.3016,0.9221,0.3094,6202.8
gee_lee,-25.75,0.117,0.4634,0.4426,0.3221,0.9187,0.3315,6670.5
gee_lee,-25.5,0.1298,0.4817,0.4701,0.3418,0.9153,0.3529,7126.8
gee_lee,-25.25,0.1423,0.4984,0.4961,0.3604,0.912,0.3734,7567.0
gee_lee,-25.0,0.1548,0.5138,0.5194,0.3777,0.9086,0.3926,7986.1
gee_lee,-24.75,0.1671,0.5276,0.5409,0.3938,0.9051,0.4107,8387.7
gee_lee,-24.5,0.179,0.5398,0.5606,0.4087,0.9016,0.4277,8769.2
gee_lee,-24.25,0.1908,0.5507,0.5782,0.4224,0.898,0.4437,9131.8
gee_lee,-24.0,0.202,0.5608,0.5934,0.4347,0.8942,0.4583,9473.5
gee_lee,-23.75,0.2129,0.57,0.6066,0.446,0.8901,0.472,9800.1
gee_lee,-23.5,0.2238,0.5787,0.6183,0.4565,0.8858,0.485,10120.6
gee_lee,-23.25,0.2342,0.586,0.6289,0.4659,0.8811,0.4972,10429.9
gee_lee,-23.0,0.2445,0.5926,0.6385,0.4748,0.876,0.509,10739.7
gee_lee,-22.75,0.2548,0.5985,0.6475,0.4832,0.8705,0.5206,11053.1
gee_lee,-22.5,0.2653,0.6036,0.6553,0.4909,0.8643,0.5319,11375.1
gee_lee,-22.25,0.2762,0.6082,0.6629,0.4984,0.8573,0.5435,11719.2
gee_lee,-22.0,0.2869,0.612,0.67,0.5054,0.8493,0.5552,12084.0
gee_lee,-21.75,0.2975,0.6155,0.6767,0.5121,0.8403,0.5673,12477.4
gee_lee,-21.5,0.3078,0.6179,0.6831,0.5181,0.8298,0.5797,12912.2
gee_lee,-21.25,0.3176,0.6199,0.6889,0.5233,0.8177,0.5925,13391.3
