variant,chip_id,split,threshold,tiles_accepted,tiles_examined,truth_water_frac,pred_water_frac,iou
v1_otsu_vh,1018317,valid,-23.43,0,0,0.7651,0.8211,0.8519
v1_otsu_vh,1018327,test,-17.23,0,0,0.1398,0.2740,0.3617
v1_otsu_vh,103447,train,-20.88,0,0,0.1649,0.1873,0.5625
v1_otsu_vh,1050276,valid,-18.37,0,0,0.1920,0.3020,0.4095
v1_otsu_vh,1068117,valid,-18.73,0,0,0.2088,0.2245,0.4666
v1_otsu_vh,1072277,train,-16.43,0,0,0.0860,0.4505,0.1643
v1_otsu_vh,118868,valid,-15.63,0,0,0.0665,0.2884,0.1564
v1_otsu_vh,135434,train,-19.05,0,0,0.0880,0.1853,0.4215
v1_otsu_vh,136196,train,-15.12,0,0,0.0000,0.4592,0.0000
v1_otsu_vh,164336,valid,-14.68,0,0,0.0073,0.5258,0.0119
v1_otsu_vh,166709,train,-16.16,0,0,0.0344,0.3812,0.0720
v1_otsu_vh,177319,train,-14.36,0,0,0.0062,0.4406,0.0100
v1_otsu_vh,179238,train,-16.80,0,0,0.0602,0.4242,0.1063
v1_otsu_vh,180633,valid,-21.81,0,0,0.4604,0.4679,0.8357
v1_otsu_vh,207862,train,-16.83,0,0,0.1051,0.3528,0.2408
v1_otsu_vh,244057,valid,-13.20,0,0,0.0000,0.4624,0.0001
v1_otsu_vh,25540,train,-15.56,0,0,0.0613,0.4669,0.1238
v1_otsu_vh,265762,train,-16.19,0,0,0.0579,0.4446,0.1020
v1_otsu_vh,273873,train,-13.35,0,0,0.0350,0.4825,0.0334
v1_otsu_vh,285297,train,-17.94,0,0,0.1469,0.3577,0.3059
v1_otsu_vh,287642,train,-19.31,0,0,0.1553,0.3579,0.3143
v1_otsu_vh,324254,train,-14.13,0,0,0.0148,0.4222,0.0306
v1_otsu_vh,373039,train,-14.46,0,0,0.0062,0.5332,0.0102
v1_otsu_vh,383430,train,-16.62,0,0,0.1561,0.2286,0.3111
v1_otsu_vh,391908,train,-17.22,0,0,0.1227,0.3185,0.2708
v1_otsu_vh,399883,test,-21.41,0,0,0.5200,0.5426,0.7394
v1_otsu_vh,44475,test,-13.56,0,0,0.0000,0.4623,0.0000
v1_otsu_vh,500266,train,-17.62,0,0,0.1457,0.3670,0.2808
v1_otsu_vh,533192,valid,-21.43,0,0,0.3628,0.3196,0.6035
v1_otsu_vh,534470,train,-15.15,0,0,0.0297,0.3746,0.0706
v1_otsu_vh,56450,train,-14.49,0,0,0.0005,0.4897,0.0009
v1_otsu_vh,566697,train,-17.24,0,0,0.0682,0.3663,0.1475
v1_otsu_vh,570384,test,-16.97,0,0,0.0601,0.2428,0.1958
v1_otsu_vh,591317,test,-21.83,0,0,0.4635,0.4624,0.8551
v1_otsu_vh,591549,train,-15.09,0,0,0.0450,0.4356,0.0836
v1_otsu_vh,592446,test,-16.35,0,0,0.0403,0.2508,0.1434
v1_otsu_vh,59460,train,-14.31,0,0,0.0015,0.4702,0.0027
v1_otsu_vh,624341,train,-14.13,0,0,0.0123,0.4885,0.0207
v1_otsu_vh,631692,test,-13.99,0,0,0.0031,0.4465,0.0062
v1_otsu_vh,652725,train,-17.34,0,0,0.0832,0.3640,0.1775
v1_otsu_vh,664410,train,-17.47,0,0,0.0516,0.4338,0.0885
v1_otsu_vh,691027,valid,-15.24,0,0,0.0330,0.3750,0.0726
v1_otsu_vh,698338,train,-16.28,0,0,0.0436,0.3631,0.1059
v1_otsu_vh,70352,valid,-19.33,0,0,0.0551,0.0834,0.5235
v1_otsu_vh,707886,train,-15.08,0,0,0.0221,0.3485,0.0615
v1_otsu_vh,73419,train,-15.54,0,0,0.0349,0.4123,0.0539
v1_otsu_vh,747970,train,-14.36,0,0,0.0203,0.3682,0.0491
v1_otsu_vh,747992,test,-19.82,0,0,0.4476,0.3889,0.5674
v1_otsu_vh,764946,valid,-14.26,0,0,0.0130,0.4226,0.0280
v1_otsu_vh,769408,valid,-16.80,0,0,0.0488,0.3918,0.1011
v1_otsu_vh,772630,test,-13.26,0,0,0.0087,0.5570,0.0148
v1_otsu_vh,773682,train,-17.10,0,0,0.1225,0.3573,0.2428
v1_otsu_vh,774689,train,-17.57,0,0,0.0792,0.2936,0.1954
v1_otsu_vh,79637,test,-15.41,0,0,0.0197,0.5114,0.0286
v1_otsu_vh,80221,test,-22.59,0,0,0.7544,0.8192,0.8624
v1_otsu_vh,804466,train,-17.88,0,0,0.1916,0.3764,0.3394
v1_otsu_vh,828067,test,-15.02,0,0,0.0382,0.3904,0.0834
v1_otsu_vh,833266,valid,-16.06,0,0,0.0831,0.4308,0.1467
v1_otsu_vh,842775,train,-15.85,0,0,0.0241,0.4418,0.0440
v1_otsu_vh,869358,valid,-17.09,0,0,0.0193,0.4048,0.0376
v1_otsu_vh,900498,test,-22.09,0,0,0.4731,0.4585,0.7161
v1_otsu_vh,91379,train,-17.70,0,0,0.1129,0.4024,0.2041
v1_otsu_vh,943439,train,-19.19,0,0,0.1904,0.1734,0.5542
v1_otsu_vh,952728,test,-15.84,0,0,0.0310,0.4321,0.0547
v1_otsu_vh,956930,train,-16.86,0,0,0.1691,0.3002,0.3480
v1_otsu_vh,979278,train,-18.44,0,0,0.0498,0.2602,0.1444
v1_otsu_vh,981708,train,-16.23,0,0,0.0464,0.3164,0.1217
v2_lee_vh,1017769,train,-20.59,0,0,0.5674,0.6750,0.7434
v2_lee_vh,1018317,valid,-21.98,0,0,0.7651,0.8546,0.8718
v2_lee_vh,1018327,test,-16.16,0,0,0.1398,0.2915,0.3761
v2_lee_vh,103447,train,-20.38,0,0,0.1649,0.1606,0.5958
v2_lee_vh,1050276,valid,-17.56,0,0,0.1920,0.2953,0.4421
v2_lee_vh,1068117,valid,-17.88,0,0,0.2088,0.1932,0.5016
v2_lee_vh,1072277,train,-15.79,0,0,0.0860,0.4739,0.1680
v2_lee_vh,118868,valid,-14.22,0,0,0.0665,0.3895,0.1426
v2_lee_vh,135434,train,-19.00,0,0,0.0880,0.1324,0.5822
v2_lee_vh,136196,train,-13.99,0,0,0.0000,0.5535,0.0000
v2_lee_vh,164336,valid,-14.01,0,0,0.0073,0.5765,0.0117
v2_lee_vh,166709,train,-15.47,0,0,0.0344,0.4221,0.0728
v2_lee_vh,177319,train,-13.50,0,0,0.0062,0.5384,0.0097
v2_lee_vh,179238,train,-16.07,0,0,0.0602,0.4747,0.1091
v2_lee_vh,180633,valid,-20.58,0,0,0.4604,0.4757,0.8430
v2_lee_vh,207862,train,-16.09,0,0,0.1051,0.3488,0.2595
v2_lee_vh,244057,valid,-12.42,0,0,0.0000,0.5077,0.0000
v2_lee_vh,25540,train,-14.89,0,0,0.0613,0.4950,0.1200
v2_lee_vh,265762,train,-15.41,0,0,0.0579,0.4916,0.1012
v2_lee_vh,273873,train,-12.27,0,0,0.0350,0.5503,0.0306
v2_lee_vh,285297,train,-17.02,0,0,0.1469,0.3676,0.3218
v2_lee_vh,287642,train,-18.45,0,0,0.1553,0.3655,0.3239
v2_lee_vh,324254,train,-13.47,0,0,0.0148,0.4740,0.0294
v2_lee_vh,373039,train,-13.44,0,0,0.0062,0.5941,0.0099
v2_lee_vh,383430,train,-16.07,0,0,0.1561,0.1804,0.3538
v2_lee_vh,391908,train,-16.32,0,0,0.1227,0.3528,0.2744
v2_lee_vh,399883,test,-20.25,0,0,0.5200,0.5523,0.7424
v2_lee_vh,44475,test,-12.69,0,0,0.0000,0.5740,0.0000
v2_lee_vh,500266,train,-17.13,0,0,0.1457,0.3348,0.3060
v2_lee_vh,533192,valid,-19.40,0,0,0.3628,0.3555,0.6558
v2_lee_vh,534470,train,-14.31,0,0,0.0297,0.4524,0.0636
v2_lee_vh,56450,train,-13.77,0,0,0.0005,0.5406,0.0008
v2_lee_vh,566697,train,-16.60,0,0,0.0682,0.3624,0.1609
v2_lee_vh,570384,test,-16.63,0,0,0.0601,0.1832,0.2568
v2_lee_vh,591317,test,-20.71,0,0,0.4635,0.4646,0.8753
v2_lee_vh,591549,train,-14.36,0,0,0.0450,0.4769,0.0836
v2_lee_vh,592446,test,-16.03,0,0,0.0403,0.1747,0.2134
v2_lee_vh,59460,train,-13.39,0,0,0.0015,0.5468,0.0026
v2_lee_vh,624341,train,-13.27,0,0,0.0123,0.5782,0.0189
v2_lee_vh,631692,test,-13.23,0,0,0.0031,0.5779,0.0052
v2_lee_vh,652725,train,-16.69,0,0,0.0832,0.3600,0.1836
v2_lee_vh,664410,train,-16.63,0,0,0.0516,0.5221,0.0816
v2_lee_vh,691027,valid,-14.57,0,0,0.0330,0.3742,0.0762
v2_lee_vh,698338,train,-15.46,0,0,0.0436,0.4004,0.1020
v2_lee_vh,70352,valid,-18.86,0,0,0.0551,0.0611,0.6631
v2_lee_vh,707886,train,-14.14,0,0,0.0221,0.4720,0.0463
v2_lee_vh,73419,train,-14.84,0,0,0.0349,0.4549,0.0523
v2_lee_vh,747970,train,-13.49,0,0,0.0203,0.4758,0.0409
v2_lee_vh,747992,test,-18.75,0,0,0.4476,0.4300,0.6337
v2_lee_vh,764946,valid,-13.45,0,0,0.0130,0.5305,0.0235
v2_lee_vh,769408,valid,-16.05,0,0,0.0488,0.4353,0.0999
v2_lee_vh,772630,test,-12.25,0,0,0.0087,0.6263,0.0136
v2_lee_vh,773682,train,-16.26,0,0,0.1225,0.4038,0.2547
v2_lee_vh,774689,train,-16.81,0,0,0.0792,0.2803,0.2145
v2_lee_vh,79637,test,-14.66,0,0,0.0197,0.5838,0.0276
v2_lee_vh,80221,test,-21.48,0,0,0.7544,0.8291,0.8673
v2_lee_vh,804466,train,-16.99,0,0,0.1916,0.4131,0.3457
v2_lee_vh,828067,test,-14.31,0,0,0.0382,0.4070,0.0878
v2_lee_vh,833266,valid,-15.44,0,0,0.0831,0.4466,0.1558
v2_lee_vh,842775,train,-14.92,0,0,0.0241,0.5546,0.0387
v2_lee_vh,869358,valid,-16.32,0,0,0.0193,0.4316,0.0374
v2_lee_vh,900498,test,-20.54,0,0,0.4731,0.4870,0.7532
v2_lee_vh,91379,train,-16.87,0,0,0.1129,0.4386,0.1993
v2_lee_vh,943439,train,-18.21,0,0,0.1904,0.1614,0.5686
v2_lee_vh,952728,test,-14.98,0,0,0.0310,0.4990,0.0507
v2_lee_vh,956930,train,-16.39,0,0,0.1691,0.2691,0.3836
v2_lee_vh,979278,train,-17.72,0,0,0.0498,0.2456,0.1544
v2_lee_vh,981708,train,-15.30,0,0,0.0464,0.3328,0.1313
v3_tiled_vh,1017769,train,-20.51,16,16,0.5674,0.6762,0.7433
v3_tiled_vh,1018317,valid,-23.28,15,16,0.7651,0.8423,0.8796
v3_tiled_vh,1018327,test,-16.44,16,16,0.1398,0.2598,0.3997
v3_tiled_vh,103447,train,-16.66,16,16,0.1649,0.3804,0.3810
v3_tiled_vh,1050276,valid,-17.38,16,16,0.1920,0.3122,0.4356
v3_tiled_vh,1068117,valid,-17.67,16,16,0.2088,0.2067,0.5020
v3_tiled_vh,1072277,train,-15.12,16,16,0.0860,0.5586,0.1472
v3_tiled_vh,118868,valid,-14.26,10,16,0.0665,0.3819,0.1446
v3_tiled_vh,135434,train,-16.13,16,16,0.0880,0.3522,0.2439
v3_tiled_vh,136196,train,-13.74,16,16,0.0000,0.5842,0.0000
v3_tiled_vh,164336,valid,-13.43,16,16,0.0073,0.6440,0.0109
v3_tiled_vh,166709,train,-15.57,16,16,0.0344,0.4042,0.0752
v3_tiled_vh,177319,train,-13.59,16,16,0.0062,0.5208,0.0098
v3_tiled_vh,179238,train,-15.93,16,16,0.0602,0.4982,0.1059
v3_tiled_vh,180633,valid,-19.06,13,16,0.4604,0.4980,0.8321
v3_tiled_vh,207862,train,-15.95,16,16,0.1051,0.3625,0.2536
v3_tiled_vh,244057,valid,-12.23,16,16,0.0000,0.5279,0.0000
v3_tiled_vh,25540,train,-14.06,16,16,0.0613,0.6030,0.1004
v3_tiled_vh,265762,train,-15.60,15,16,0.0579,0.4593,0.1057
v3_tiled_vh,273873,train,-12.60,16,16,0.0350,0.5272,0.0314
v3_tiled_vh,285297,train,-16.59,16,16,0.1469,0.4098,0.3044
v3_tiled_vh,287642,train,-18.22,16,16,0.1553,0.3888,0.3160
v3_tiled_vh,324254,train,-13.30,16,16,0.0148,0.5129,0.0274
v3_tiled_vh,373039,train,-13.36,16,16,0.0062,0.6007,0.0098
