slope_lo,slope_hi,flood_ha,permanent_ha
0,2,34117.1,21727.5
2,5,3504.5,654.9
5,8,1687.8,317.2
8,12,1170.8,162.9
12,20,1059.9,27.5
20,35,3599.3,3.1
35,90,6324.5,0.6

slope_cut,8.0,removed_ha,12154.5
min_pixels,10,removed_ha,422.6
kept_ha,38886.9
