district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Lakhimpur,285569.5,173744.6,60.8,89390.0,7558.4,1916.3,3067.4,2.14
Golaghat,318581.6,309880.8,97.3,143781.2,7002.8,1530.9,5230.7,1.06
Biswanath,179149.3,85082.5,47.5,41936.1,6540.6,969.2,4964.5,2.31
Majuli,124787.7,56971.3,45.7,18565.5,15303.9,860.1,9282.0,4.63
Jorhat,189522.4,53484.5,28.2,30641.9,1713.0,324.8,224.5,1.06
Karbi Anglong East,728458.8,534980.7,73.4,30948.2,175.6,94.4,0.9,0.31
Cachar,379585.4,33560.3,8.8,2617.6,37.7,37.5,0.0,1.43
Dimapur,82132.6,82133.6,100.0,15066.8,27.0,14.7,4.8,0.1
Kangpokpi,182047.1,137849.9,75.7,14518.6,265.3,13.7,16.6,0.09
Papum Pare,341625.6,237237.8,69.4,3661.4,156.6,6.4,13.3,0.18
Imphal East,37755.0,17218.9,45.6,9274.8,2.9,2.6,0.0,0.03
Wokha,149994.5,54090.9,36.1,638.6,10.1,1.8,1.9,0.28
Kamjong,236675.5,766.8,0.3,40.2,58.1,1.8,0.0,4.48
Tamenglong,293526.1,248337.6,84.6,1189.2,13.9,0.6,6.8,0.05
Peren,178990.1,178988.8,100.0,5983.2,2.1,0.6,0.0,0.01
Lower Subansiri,135499.9,135500.2,100.0,1883.8,2.6,0.3,44.1,0.02
Dima Hasao,490032.4,182129.6,37.2,3163.5,0.6,0.2,0.0,0.01
Upper Subansiri,623184.6,119158.1,19.1,27.6,6.3,0.1,20.1,0.29
Kurung Kumey,456207.3,19095.8,4.2,3.4,0.0,0.0,0.0,0.0
Ukhrul,224225.4,3944.2,1.8,422.8,0.0,0.0,0.0,0.0
Imphal West,50355.6,13011.5,25.8,7382.8,0.0,0.0,0.0,0.0
Kohima,144761.2,102219.4,70.6,1798.0,0.4,0.0,0.0,0.0
Kra Daadi,199289.6,157842.2,79.2,24.6,4.0,0.0,0.4,0.0
Hojai,145253.3,6972.2,4.8,953.9,0.0,0.0,0.0,0.0
Senapati,174167.1,100074.4,57.5,3144.3,0.0,0.0,0.0,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,115445.4,80.5,44.1,5.0,0.0,15.7,0.0
