slope_max_deg,occurrence_permanent_min,edge_buffer_px,edge_buffer_m,flood_ha,is_published
20.0,50,45,900,144546.4,0
20.0,50,65,1300,143265.1,0
20.0,70,0,0,204390.2,0
20.0,70,10,200,199249.7,0
20.0,70,20,400,193994.8,0
20.0,70,30,600,187600.3,0
20.0,70,45,900,185718.6,0
20.0,70,65,1300,184176.2,0
20.0,80,0,0,213652.4,0
20.0,80,10,200,208481.9,0
20.0,80,20,400,203196.7,0
20.0,80,30,600,196748.8,0
20.0,80,45,900,194813.5,0
20.0,80,65,1300,193213.1,0
20.0,101,0,0,221505.5,0
20.0,101,10,200,216309.3,0
20.0,101,20,400,210999.2,0
20.0,101,30,600,204502.4,0
20.0,101,45,900,202530.9,0
20.0,101,65,1300,200876.6,0
90.0,10,0,0,137367.7,0
90.0,10,10,200,129206.4,0
90.0,10,20,400,121477.9,0
90.0,10,30,600,113393.6,0
90.0,10,45,900,111058.9,0
90.0,10,65,1300,109811.3,0
90.0,25,0,0,160269.7,0
90.0,25,10,200,151962.5,0
90.0,25,20,400,144092.2,0
90.0,25,30,600,135776.3,0
90.0,25,45,900,133259.4,0
90.0,25,65,1300,131784.9,0
90.0,50,0,0,216741.4,0
90.0,50,10,200,208164.6,0
90.0,50,20,400,200033.0,0
90.0,50,30,600,191268.3,0
90.0,50,45,900,188338.6,0
90.0,50,65,1300,186452.2,0
90.0,70,0,0,258795.4,0
90.0,70,10,200,250060.4,0
90.0,70,20,400,241762.5,0
90.0,70,30,600,232698.0,0
90.0,70,45,900,229520.6,0
90.0,70,65,1300,227373.2,0
90.0,80,0,0,268064.4,0
90.0,80,10,200,259299.2,0
90.0,80,20,400,250970.8,0
90.0,80,30,600,241852.9,0
90.0,80,45,900,238621.8,0
90.0,80,65,1300,236416.4,0
90.0,101,0,0,275968.8,0
90.0,101,10,200,267177.4,0
90.0,101,20,400,258823.6,0
90.0,101,30,600,249656.5,0
90.0,101,45,900,246389.2,0
90.0,101,65,1300,244129.8,0
