smooth,gate,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
9,1,-2.25,0.2148,0.1481,0.2496,0.2112,0.5497,0.2554,8586.2
9,1,-2.0,0.2223,0.1594,0.266,0.2225,0.5507,0.2719,9125.2
9,1,-1.75,0.2301,0.1729,0.2842,0.235,0.5534,0.29,9686.5
9,1,-1.5,0.2383,0.1897,0.3049,0.2492,0.5577,0.3106,10293.6
9,1,-1.25,0.2475,0.2108,0.3293,0.266,0.5643,0.3347,10963.3
9,1,-1.0,0.2581,0.2387,0.3585,0.2864,0.5734,0.364,11732.1
9,1,-0.75,0.2697,0.2742,0.3947,0.3113,0.5851,0.3995,12618.6
9,1,-0.5,0.2826,0.3199,0.4388,0.3416,0.5996,0.4425,13642.0
9,1,-0.25,0.2963,0.3718,0.4895,0.3757,0.6149,0.4913,14769.2
9,1,0.0,0.3102,0.4274,0.5416,0.4112,0.6293,0.5427,15937.6
9,1,0.25,0.3224,0.4811,0.5913,0.4448,0.6416,0.592,17054.4
9,1,0.5,0.3327,0.5244,0.6316,0.4722,0.6502,0.6331,17997.5
9,1,0.75,0.3402,0.556,0.661,0.4922,0.6555,0.6641,18726.7
9,1,1.0,0.3449,0.576,0.6798,0.505,0.6581,0.6846,19228.6
9,1,1.25,0.3476,0.5862,0.6895,0.5116,0.6586,0.6962,19538.5
9,1,1.5,0.349,0.5902,0.6938,0.5145,0.6582,0.7021,19717.6
9,1,1.75,0.3496,0.5911,0.6958,0.5156,0.6574,0.7051,19823.3
9,1,2.0,0.3499,0.5908,0.6965,0.5159,0.6567,0.7065,19885.7
9,1,2.25,0.35,0.5902,0.6966,0.5159,0.656,0.7071,19922.1
9,1,2.5,0.35,0.5899,0.6966,0.5157,0.6555,0.7075,19949.3
9,1,2.75,0.3499,0.5896,0.6965,0.5157,0.6551,0.7078,19968.5
9,1,3.0,0.3499,0.5893,0.6965,0.5156,0.6549,0.7079,19981.5
9,1,3.25,0.3498,0.5892,0.6965,0.5155,0.6547,0.7081,19991.0
9,1,3.5,0.3498,0.5891,0.6965,0.5155,0.6545,0.7082,19998.9
9,1,3.75,0.3497,0.5891,0.6965,0.5154,0.6544,0.7082,20004.7
9,1,4.0,0.3497,0.5891,0.6965,0.5154,0.6543,0.7083,20010.2
