district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Lakhimpur,285569.5,173744.6,60.8,89390.0,9448.2,3119.8,3150.1,3.49
Golaghat,318581.6,309880.8,97.3,143781.2,8602.7,2614.3,5385.0,1.82
Biswanath,179149.3,85082.5,47.5,41936.1,7374.9,1418.7,5012.6,3.38
Majuli,124787.7,56971.3,45.7,18565.5,16176.2,1033.9,9357.6,5.57
Jorhat,189522.4,53484.5,28.2,30641.9,1978.0,491.3,227.2,1.6
Karbi Anglong East,728458.8,534980.7,73.4,30948.2,450.4,298.2,2.7,0.96
Cachar,379585.4,33560.3,8.8,2617.6,154.1,149.0,0.0,5.69
Dimapur,82132.6,82133.6,100.0,15066.8,94.6,69.6,5.4,0.46
Kangpokpi,182047.1,137849.9,75.7,14518.6,279.9,22.2,18.5,0.15
Imphal East,37755.0,17218.9,45.6,9274.8,17.3,17.0,0.0,0.18
Papum Pare,341625.6,237237.8,69.4,3661.4,267.0,11.9,28.2,0.32
Wokha,149994.5,54090.9,36.1,638.6,15.7,2.7,3.1,0.43
Dima Hasao,490032.4,182129.6,37.2,3163.5,3.4,2.5,0.0,0.08
Kamjong,236675.5,766.8,0.3,40.2,58.4,1.8,0.0,4.48
Tamenglong,293526.1,248337.6,84.6,1189.2,30.8,0.9,13.2,0.07
Imphal West,50355.6,13011.5,25.8,7382.8,1.8,0.8,0.0,0.01
Peren,178990.1,178988.8,100.0,5983.2,5.7,0.7,0.2,0.01
Lower Subansiri,135499.9,135500.2,100.0,1883.8,5.6,0.4,48.2,0.02
Upper Subansiri,623184.6,119158.1,19.1,27.6,13.1,0.2,27.9,0.58
Kurung Kumey,456207.3,19095.8,4.2,3.4,0.0,0.0,0.0,0.0
Ukhrul,224225.4,3944.2,1.8,422.8,0.0,0.0,0.0,0.0
Kohima,144761.2,102219.4,70.6,1798.0,0.4,0.0,0.0,0.0
Kra Daadi,199289.6,157842.2,79.2,24.6,6.7,0.0,0.5,0.0
Hojai,145253.3,6972.2,4.8,953.9,0.0,0.0,0.0,0.0
Senapati,174167.1,100074.4,57.5,3144.3,0.0,0.0,0.0,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,115445.4,80.5,44.1,6.3,0.0,32.4,0.0
