threshold,valid_iou,valid_precision,valid_recall,test_iou,test_precision,test_recall,train_iou,train_precision,train_recall
-30.0,0.06518797663828492,0.9690956740750826,0.06532377401778032,0.04582046854012943,0.95697978019309,0.04591504529451266,0.007365875109938434,0.9225473321858864,0.007370433012939511
-29.75,0.07867904149962472,0.9678817733990148,0.07888500143389733,0.055450055865597106,0.9561078264355146,0.05559156716537486,0.008999935420310724,0.9221455722933971,0.009006779148274961
-29.5,0.09420941065095252,0.966273424490466,0.09452021795239461,0.06668689813793023,0.9545057777038822,0.06689953634850045,0.010972314379405514,0.9201612903225806,0.010982770237751467
-29.25,0.11173539216604708,0.9648029041549935,0.1121927158015486,0.08001120072659636,0.9527651560961282,0.0803298436869544,0.0132785964353259,0.9184003039802413,0.013294281039011042
-29.0,0.1311373254386005,0.9627475952676208,0.13180613708058503,0.09528469144715193,0.9520560842422399,0.09574410748907149,0.015977064207586496,0.9162204724409448,0.01600044002585152
-28.75,0.15288246264403194,0.960702005730659,0.1538445655291081,0.11300627925297743,0.9509962829809274,0.11366817818317948,0.01906933204493296,0.9131120604666447,0.01910399735984489
-28.5,0.17660614175308204,0.9593894187355426,0.177936334958417,0.1329756921643896,0.9496446721480808,0.13391997459603472,0.02273276074966386,0.9104346392658937,0.022783713543170662
-28.25,0.2025631347010055,0.9580667017992923,0.20437510754229998,0.15512276140958983,0.9479876434245367,0.1564543405966727,0.027088992585665255,0.9066917569304204,0.02716472092735448
-28.0,0.23013839173235942,0.9558241260982692,0.23261256094063665,0.17961978304623388,0.9461050105557327,0.1814766637485124,0.032418313551529306,0.905077093775108,0.03252891107352557
-27.75,0.2585487415328153,0.9537443277258254,0.26183194723257813,0.20562424549382655,0.9439596805622527,0.20816539379787824,0.03833082760301564,0.9004181408813123,0.03849401152317699
-27.5,0.2878048339365769,0.9517348105950165,0.2920676799541153,0.23335094226948563,0.9414531028291779,0.23678709758239902,0.045131213202302525,0.8968629369868972,0.04536666529158588
-27.25,0.31728606969101647,0.9494981539354587,0.3227324347576713,0.2622978516254197,0.9388702684419298,0.2668552542071676,0.052860992233317486,0.8934411085450347,0.05319637528704811
-27.0,0.34638996681851414,0.94681145429167,0.3532641238887296,0.29233831243557196,0.9364843417688519,0.2982518750719221,0.0614807284239542,0.8897095124311302,0.06195288973227177
-26.75,0.374463788925783,0.9443001736906722,0.38292170920562085,0.3230080307908664,0.933986920034408,0.3305545318547371,0.07077823084395193,0.8845453152401546,0.0714381969940734
-26.5,0.40116203627056607,0.9417093819587412,0.4113771149985661,0.35370784986421716,0.9316302239628684,0.3631339520208825,0.08123971773919428,0.8785490582405787,0.08216245204405759
-26.25,0.42627934884924407,0.9388885067748813,0.4384445081732148,0.38425309296571225,0.92908521534601,0.39586340707378076,0.09227861719779183,0.8734686015153461,0.09352886982110199
-26.0,0.44912169119200485,0.9360565090636052,0.46333696587324347,0.4140755008898289,0.9268871197688648,0.4280568151526496,0.10375582215376036,0.8691195646011679,0.10540269240817898
-25.75,0.46986795196963516,0.9331897880284977,0.4862242615428735,0.4429389905081995,0.9244294558698143,0.45958016451398165,0.11589309652605559,0.8639995974235105,0.11804656023541384
-25.5,0.48842365403149507,0.9304627953004591,0.5069274447949527,0.47038710038318465,0.9217528801780175,0.4899513042110277,0.12849861468994095,0.8597989406550643,0.13124871086176312
-25.25,0.5053506051528918,0.9279108639606933,0.5260017206767995,0.4963651815319457,0.9193067288687512,0.5189764998754565,0.1409342196918146,0.8547705682678454,0.1443917330143146
-25.0,0.5208695881453357,0.924940789961411,0.5438577573845713,0.5196213011838154,0.9168319741385644,0.5453258306178961,0.15326523923236945,0.8496996217459023,0.15753613024765206
-24.75,0.5348628354638886,0.9220016689384871,0.5602110696874104,0.5411436869036095,0.914481156548117,0.5699883613714063,0.1654612766513399,0.8443865402147144,0.17066540159234356
-24.5,0.5472039272549396,0.9191110393826133,0.5748895899053628,0.5607373492847094,0.9119748845401437,0.5928227971455499,0.1772419060268969,0.8387978829061011,0.1834921551641159
-24.25,0.5582503031318912,0.9160677287990283,0.5883429882420419,0.5783012275303999,0.909593271213708,0.613568397700242,0.18888409643591447,0.8331601984242778,0.19630928317038626
-24.0,0.5684552224556043,0.9129451450914249,0.6010347003154574,0.5934699830749887,0.9072104142526678,0.6318216711555745,0.1999222774038018,0.8264023131837315,0.20868638532513786
-23.75,0.5777369223614911,0.9098675604970569,0.6128087180957843,0.6066703850124301,0.9048256336618762,0.6480225256261043,0.21073724671728825,0.8188801890973556,0.22104011110652752
-23.5,0.5864889218471779,0.9066533366658336,0.6241789503871523,0.6183546445955663,0.9024457982618149,0.6626487421104228,0.22150914218731868,0.8105423368146837,0.2336042242481746
-23.25,0.593848314546419,0.9027611828230793,0.6344295956409521,0.6289284223423345,0.9004175705620515,0.6759450377053694,0.23182323649946474,0.8013781485497182,0.24595519986799225
-23.0,0.6004662253921746,0.8985211806233379,0.6441502724404933,0.6385977764021831,0.8984999866885228,0.6882478984190984,0.24203270712258412,0.7910592808551993,0.2585619405140052
-22.75,0.6065033308912476,0.8942719242327657,0.6533524519644394,0.6475470711367567,0.8966039158453445,0.6998049546472214,0.25217948734320267,0.7794851350711275,0.27155232869931106
-22.5,0.6115694772647797,0.8891648384154608,0.6620384284485231,0.6554094561643578,0.8946249185802225,0.7102389341987773,0.2625799912178912,0.7670628246123136,0.2853320132557788
-22.25,0.616166769618684,0.8837214224592786,0.6705293948953255,0.6629734811679705,0.8924049148594942,0.7205709482933167,0.27325859465577557,0.753329145295015,0.3001113815436657
-22.0,0.6200361351336623,0.8776914381336395,0.6786762259822197,0.6700417217189402,0.8899446564851634,0.7305781295747895,0.28380010955814433,0.7380146181624075,0.31559479119398265
-21.75,0.6234324696905963,0.8710025602234377,0.6868505878979065,0.6767342156418928,0.8873068550210275,0.7403682700977557,0.29425069677260535,0.7212030156037181,0.332017381021135
-21.5,0.6258611530821684,0.8633534351253868,0.694673931746487,0.6831297004321978,0.8840734422358074,0.7503434050927376,0.304392970959038,0.7022537569523304,0.3494987830535044
-21.25,0.6277836756610525,0.8547363662745273,0.7027634069400631,0.6889547777965529,0.8802512468733291,0.7602049214356154,0.31395104595587586,0.6816398387778916,0.36789598888934727
-21.0,0.6286419041861994,0.8444121109076641,0.7109974189848007,0.6939804667544791,0.8757660628759881,0.7697605414074438,0.3229524091124757,0.6597460246108895,0.3874922651705788
-20.75,0.628774600831826,0.8331610568299883,0.7193484370519071,0.6985710574853379,0.8705431287037233,0.7795535952291819,0.3310961794064387,0.6364770464429864,0.4083096131897749
-20.5,0.6280559480414624,0.8204583996856452,0.7281284772010324,0.7023400665109732,0.8642870585083139,0.7893976317794283,0.33806520646552424,0.6123778310309181,0.43010189348624234
-20.25,0.6263430015805177,0.806220665815437,0.7373467163751075,0.7051087948385106,0.8569746027332639,0.7991528127171318,0.3436937515064814,0.5876459159588304,0.4529268594529929
-20.0,0.623638229516483,0.7903107621534012,0.7472899340407226,0.7069338587568033,0.8485292926885535,0.809028895553869,0.3475928964269525,0.5622013372306155,0.47659750010313107
-19.75,0.6192842196839586,0.7721352979542602,0.7577722971035273,0.7073851265464339,0.8387432289257308,0.8187345504124502,0.3497229803951667,0.5363549018828893,0.5012609490807585
-19.5,0.6134289773559481,0.7523009113831963,0.768683682248351,0.7063279851863076,0.8273366015448845,0.8284489451673471,0.3497074922899279,0.510245155993213,0.5264015510911266
-19.25,0.6055907426708357,0.7304859676909818,0.779831373673645,0.7039855276322903,0.8145329748089443,0.8383730974338208,0.3478116679294296,0.48434508105396684,0.5523410750381585
-19.0,0.5963857816775657,0.70752405034217,0.7915227989675939,0.699798366746615,0.7998865496818995,0.8483161861423117,0.34366779406238257,0.4584959128065395,0.5784552342450119
-18.75,0.5850020549249701,0.6827767345816589,0.8033495841697734,0.693594738000803,0.7833870309327426,0.8581806157839614,0.3375542577932875,0.43301183212380767,0.6049310396985823
-18.5,0.5716732744131436,0.656626116514719,0.8154516776598796,0.6856448746984846,0.7655726371841526,0.8678527677066658,0.3294919185330144,0.40798000378527705,0.6313628425670008
-18.25,0.5563929830837241,0.6291805502520404,0.8278680814453685,0.6753641389053968,0.7457719038226521,0.877354491651214,0.3199569648878687,0.38378612058428163,0.6579802813415289
-18.0,0.5390728281831967,0.6007109918286795,0.8400940636650416,0.6635358074314494,0.7249173058742001,0.8868314525562012,0.3089174089204497,0.3602030988714076,0.6845097149457531
-17.75,0.5202198159237703,0.5717988858461828,0.852225982219673,0.6497488684556598,0.7027332392741065,0.8960243668309281,0.29668293803480156,0.337505324417058,0.7103859851766291
-17.5,0.5006058947178205,0.5432796435420842,0.8643739604244336,0.6342036913248253,0.6793172655641938,0.9052114545081114,0.28361896561596683,0.31581743922296074,0.735580215337651
-17.25,0.479834641167564,0.5147632116725349,0.8761089761973043,0.6167763093220505,0.6548167351841937,0.9139193045373172,0.2701435909066913,0.2953450777423587,0.7599562724310053
-17.0,0.4586154384010524,0.4868236987238839,0.8878279323200459,0.5977456172647201,0.6294370323390034,0.922312518299158,0.25628571647111703,0.27584926055031833,0.7832528911073525
-16.75,0.43703459174557996,0.4595891656062534,0.8990444508173214,0.5771535333394195,0.6033202626730287,0.9301055925139875,0.2422956076355263,0.25739840994254143,0.805047921565392
-16.5,0.41537304805307956,0.43316184845483424,0.9100269572698595,0.5554888204278527,0.5767928394842694,0.9376539496319776,0.22853234398782343,0.24010325611778904,0.8258501436959421
-16.25,0.3934580722348073,0.4072995383097345,0.9204955549182678,0.5327591376385689,0.5499018572924483,0.9447201558032183,0.21512041245885488,0.22392470239981238,0.8454711714313216
-16.0,0.3719126401009975,0.3826258175533386,0.9299868081445368,0.5092574183704418,0.5228471986526381,0.9514396794206031,0.20207664981919723,0.2087360797414624,0.863648364341405
-15.75,0.3507719416728517,0.35895362492468447,0.9389848006882707,0.4852107157561993,0.49579471419512977,0.9578576766150965,0.18959339036456188,0.19461604181171957,0.8801864609545811
-15.5,0.32998042427390034,0.3361274296755332,0.9474895325494694,0.4610313864472872,0.4691689825533777,0.9637425401343322,0.17778817880346212,0.18156440783654054,0.8952683470153872
-15.25,0.30999250351932595,0.31455001155734025,0.9553472899340407,0.4367303797509905,0.4429133451977435,0.9690258074571708,0.16659825391150349,0.16943841753638347,0.9085832542661881
-15.0,0.2905584420172153,0.2938953465968763,0.9623928878692286,0.4129914042096889,0.41760928902019323,0.9739230626927329,0.15622946118994618,0.15835819847193208,0.9207733454340442
-14.75,0.27239550142031893,0.2747998914621442,0.9688786922856324,0.389877837166923,0.39328616796936533,0.9782551379665466,0.14668302072716977,0.14827625143113235,0.9317464901062937
-14.5,0.25544329470298255,0.2571720095433021,0.9743596214511041,0.36768997913740675,0.3701886274402131,0.9819739638488756,0.13793168744374637,0.13912334271509857,0.9415315649794426
-14.25,0.23999118126107966,0.24123437066283598,0.9789779179810726,0.3468888860399226,0.34868863275531453,0.9853388239304187,0.13005945570816949,0.1309481880078611,0.9504049612914759
-14.0,0.22613015211165935,0.22700830071141387,0.9831809578434184,0.3278045513389546,0.3290996953818255,0.9881370474008276,0.12300888533951644,0.12367615934693901,0.9579816564223148
-13.75,0.21393380039643162,0.2145500982710285,0.9867507886435332,0.3106284009087516,0.3115622605820445,0.9904429233787857,0.11681964834555172,0.1173203143903499,0.9647566794549179
-13.5,0.20335810430204085,0.20378692008534835,0.9897585316891311,0.295315322109802,0.29597986391460757,0.9924545561807818,0.1114077086816978,0.11178529267085176,0.9705732711796818
-13.25,0.19425556384154394,0.1945585044683633,0.9920481789503871,0.2820174911162106,0.28249203573817616,0.9940787202461154,0.10672176268754972,0.10700859764995356,0.9754988105551201
-13.0,0.18652990961323834,0.18674427687238285,0.9938835675365644,0.2705544626501502,0.27088874530773716,0.9954596238639956,0.1027106640117539,0.10293139549383537,0.9795484234698788
-12.75,0.1800685819019151,0.180219751005354,0.9953633495841697,0.2607806858655347,0.2610146898138822,0.9965739606442469,0.09934678088053887,0.09951701701736537,0.9830727555243871
-12.5,0.17467581875771143,0.17478343415661954,0.9964875250932034,0.25254190468498233,0.2527051897646196,0.9974479502758166,0.09653028982994447,0.0966622587615539,0.9860539306684267
-12.25,0.1702173310426158,0.1702924735276733,0.9974143963292228,0.2456721462303812,0.24578979880429067,0.9980553730697574,0.09416272887338475,0.09426793129875222,0.9882870618648846
-12.0,0.16657866655129017,0.1666306640867371,0.998130197877832,0.23998190718188253,0.2400682226903485,0.99850402108063,0.09222178207372952,0.09230648730400423,0.9901475461683374
-11.75,0.1636071137940172,0.16364426562139903,0.9986142816174362,0.2353532902565081,0.23541437160160153,0.9988987730642223,0.09062915015818983,0.09069806106584911,0.9916862615678671
-11.5,0.16116535902884527,0.16119256562276144,0.998953828505879,0.2316054324749202,0.23164852814389336,0.9991973861883419,0.08931609515118294,0.08937388530679626,0.992812452731598
-11.25,0.15915859069313104,0.15917906681037713,0.999192429022082,0.22854330511946758,0.22857406520245757,0.9994115136480765,0.0882423624593019,0.08829214227510804,0.9936512520110556
-11.0,0.1575379027060807,0.15755305912819548,0.9993897332950961,0.2260577784322271,0.2260785569515496,0.9995935948213202,0.08737013550694074,0.08741309754409717,0.9944061713625676
-10.75,0.15617803607122474,0.15618934605774024,0.9995365643819902,0.2240407903039784,0.22405600396203937,0.9996970169277225,0.08666513519838702,0.08670291390195226,0.9949974561005459
-10.5,0.15507130115895523,0.15508013206093937,0.9996329222827646,0.22239290639321485,0.22240313920670873,0.9997931557871952,0.08608104799551286,0.08611489059301955,0.9954553580022827
-10.25,0.15412803408639525,0.15413506706661384,0.9997040435904789,0.22102494616121754,0.22103199226912262,0.999855791710791,0.085601873806472,0.08563244159527181,0.9958472560262915
-10.0,0.15334468526539627,0.1533500275186613,0.9997728706624606,0.21989798320948295,0.21990249165566528,0.9999067744392992,0.08521081310728573,0.0852386750201904,0.9961786504957166
