slope_lo,slope_hi,flood_ha,permanent_ha
0,2,83477.8,22353.7
2,5,5679.8,731.2
5,8,2377.5,354.4
8,12,1683.8,181.7
12,20,2008.9,35.0
20,35,7216.6,5.2
35,90,11028.4,1.2

slope_cut,8.0,removed_ha,21937.6
min_pixels,10,removed_ha,620.2
kept_ha,90915.0
