slope_lo,slope_hi,flood_ha,permanent_ha
0,2,104957.8,56231.8
2,5,10006.3,1222.2
5,8,7866.6,520.2
8,12,9177.2,255.8
12,20,14171.8,92.8
20,35,23908.7,46.6
35,90,21179.2,19.6

slope_cut,8.0,removed_ha,68436.8
min_pixels,10,removed_ha,3051.8
kept_ha,119778.9
